"Device Name","Ticket Name","Order Source","Number of Items","Items in Ticket","Completion Time (seconds)","Time Created","Time Completed","Time Due","Time Recalled"
"MILK","","Point of Sale","2","1x 12oz/Medium; 1x 16oz/Large","921","2026-02-09 05:02:16","2026-02-09 05:17:37","",""
"MILK","","Point of Sale","2","1x 20oz\ICED LARGE; 1x Ham And Cheese Croissant","1346","2026-02-09 05:05:55","2026-02-09 05:28:21","",""
"MILK","","Point of Sale","3","1x 6oz; 1x Sweet Pastry; 1x 6oz","1283","2026-02-09 05:06:59","2026-02-09 05:28:22","",""
"MILK","","Point of Sale","2","1x 16oz/ICED MEDIUM; 1x A Sweet Muffin","1056","2026-02-09 05:10:47","2026-02-09 05:28:23","",""
"MILK","","Point of Sale","1","1x 12oz/Medium","1034","2026-02-09 05:11:09","2026-02-09 05:28:23","",""
"MILK","","Point of Sale","1","1x 12oz/ICED SMALL","831","2026-02-09 05:14:31","2026-02-09 05:28:22","",""
"MILK","","Point of Sale","1","1x 16oz/Large","1321","2026-02-09 05:19:37","2026-02-09 05:41:38","",""
"MILK","","Point of Sale","2","2x 12oz/Medium","1246","2026-02-09 05:20:52","2026-02-09 05:41:38","",""
"MILK","","Point of Sale","1","1x 16oz/ICED MEDIUM","1235","2026-02-09 05:21:05","2026-02-09 05:41:40","",""
"MILK","","Point of Sale","1","1x 8oz/Small","1186","2026-02-09 05:21:54","2026-02-09 05:41:40","",""
"MILK","","Point of Sale","2","2x 16oz/Large","1034","2026-02-09 05:24:27","2026-02-09 05:41:41","",""
"MILK","","Point of Sale","1","1x 8oz/Small","307","2026-02-09 05:27:47","2026-02-09 05:32:54","",""
"MILK","","Point of Sale","1","1x 12oz/Medium","229","2026-02-09 05:29:10","2026-02-09 05:32:59","",""
"MILK","","Point of Sale","1","1x 16oz/Large","1709","2026-02-09 05:31:21","2026-02-09 05:59:50","",""
"MILK","","Point of Sale","1","1x 8oz/Small","1695","2026-02-09 05:31:36","2026-02-09 05:59:51","",""
"MILK","","Point of Sale","2","2x 16oz/Large","1646","2026-02-09 05:32:25","2026-02-09 05:59:51","",""
"MILK","","Point of Sale","1","1x 20oz\ICED LARGE","1293","2026-02-09 05:38:19","2026-02-09 05:59:52","",""
"MILK","","Point of Sale","1","1x 12oz/Medium","1268","2026-02-09 05:38:45","2026-02-09 05:59:53","",""
"MILK","","Point of Sale","2","2x 20oz\ICED LARGE","893","2026-02-09 05:45:00","2026-02-09 05:59:53","",""
"MILK","","Point of Sale","2","1x 12oz/Medium; 1x 16oz/Large","834","2026-02-09 05:46:00","2026-02-09 05:59:54","",""
"MILK","","Point of Sale","1","1x 8oz/Small","796","2026-02-09 05:47:41","2026-02-09 06:00:57","",""
"MILK","","Point of Sale","1","1x 16oz/Large","671","2026-02-09 05:48:43","2026-02-09 05:59:54","",""
"MILK","","Point of Sale","1","1x 20oz\ICED LARGE","553","2026-02-09 05:51:43","2026-02-09 06:00:56","",""
"MILK","","Point of Sale","2","1x 6oz; 1x 12oz/ICED SMALL","436","2026-02-09 05:53:41","2026-02-09 06:00:57","",""
"MILK","","Point of Sale","1","1x 16oz/Large","352","2026-02-09 05:55:03","2026-02-09 06:00:55","",""
"MILK","","Point of Sale","1","1x 12oz/Medium","404","2026-02-09 05:55:46","2026-02-09 06:02:30","",""
"MILK","","Point of Sale","1","1x 16oz/ICED MEDIUM","386","2026-02-09 05:56:05","2026-02-09 06:02:31","",""
"MILK","","Point of Sale","2","1x 12oz/Medium; 1x 16oz/ICED MEDIUM","616","2026-02-09 05:58:43","2026-02-09 06:08:59","",""
"MILK","","Point of Sale","1","1x 16oz/ICED MEDIUM","583","2026-02-09 05:59:15","2026-02-09 06:08:58","",""
"MILK","","Point of Sale","1","1x 20oz\ICED LARGE","607","2026-02-09 06:01:01","2026-02-09 06:11:08","",""
"MILK","","Point of Sale","2","1x 12oz/Medium; 1x 12oz/Medium","362","2026-02-09 06:05:06","2026-02-09 06:11:08","",""
"MILK","","Point of Sale","1","1x 16oz/Large","345","2026-02-09 06:05:24","2026-02-09 06:11:09","",""
"MILK","","Point of Sale","2","1x 12oz/Medium; 1x 12oz/Medium","665","2026-02-09 06:07:06","2026-02-09 06:18:11","",""
"MILK","","Point of Sale","1","1x ","471","2026-02-09 06:10:19","2026-02-09 06:18:10","",""
"MILK","","Point of Sale","1","1x 16oz/Large","445","2026-02-09 06:10:45","2026-02-09 06:18:10","",""
"MILK","","Point of Sale","1","1x 16oz/ICED MEDIUM","423","2026-02-09 06:11:06","2026-02-09 06:18:09","",""
"MILK","","Point of Sale","1","1x 6oz","321","2026-02-09 06:12:48","2026-02-09 06:18:09","",""
"MILK","","Point of Sale","2","1x 12oz/Medium; 1x 16oz/ICED MEDIUM","704","2026-02-09 06:13:29","2026-02-09 06:25:13","",""
"MILK","Rach","Point of Sale","1","1x 12oz/Medium","626","2026-02-09 06:14:48","2026-02-09 06:25:14","",""
"MILK","Toby","Point of Sale","2","1x 8oz/Small; 1x Pupacino","609","2026-02-09 06:15:05","2026-02-09 06:25:14","",""
